,filtered_word,filtered_freq
232,sale,nn
233,valuable,jj
234,wood,nn
235,whole,jj
236,wa,nn
237,tied,vbd
238,benefit,nn
239,child,nn
240,occasional,jj
241,visit,nn
242,father,nn
243,mother,nn
244,norland,nnp
245,far,rb
246,gained,vbn
247,affection,nn
248,uncle,nn
249,attraction,nn
250,mean,jj
251,unusual,jj
252,child,nn
253,two,cd
254,three,cd
255,year,nn
256,old,jj
257,imperfect,jj
258,articulation,nn
259,earnest,jjs
260,desire,nn
261,way,nn
262,many,jj
263,cunning,vbg
264,trick,nn
265,great,jj
266,deal,nn
267,noise,nn
268,outweigh,vb
269,value,nn
270,attention,nn
271,year,nn
272,received,vbn
273,niece,nn
274,daughter,nn
275,meant,vbd
276,unkind,jj
277,however,rb
278,mark,nn
279,affection,nn
280,three,cd
281,girl,nn
282,left,vbd
283,thousand,jj
284,pound,nn
285,a-piece,rb
286,mr.,nnp
287,dashwood,nnp
288,'s,pos
289,disappointment,nn
290,wa,nn
291,first,jj
292,severe,jj
293,temper,nn
294,wa,nn
295,cheerful,nn
296,sanguine,nn
297,might,md
298,reasonably,rb
299,hope,vb
300,live,vb
301,many,jj
302,year,nn
303,living,vbg
304,economically,rb
305,lay,nn
306,considerable,jj
307,sum,nn
308,produce,nn
309,estate,nn
310,already,rb
311,large,jj
312,capable,jj
313,almost,rb
314,immediate,jj
315,improvement,nn
316,fortune,nn
317,tardy,jj
318,coming,vbg
319,wa,vb
320,one,cd
321,twelvemonth,nn
322,survived,vbd
323,uncle,nn
324,longer,rb
325,ten,vb
326,thousand,cd
327,pound,nn
328,including,vbg
329,late,jj
330,legacy,nn
331,wa,vbp
332,remained,vbd
333,widow,nn
334,daughter,nn
335,son,nn
336,wa,nn
337,sent,vbd
338,soon,rb
339,danger,nn
340,wa,nn
341,known,vbn
342,mr.,nnp
343,dashwood,nnp
344,recommended,vbd
345,strength,nn
346,urgency,nn
347,illness,nn
348,could,md
349,command,vb
350,interest,nn
351,mother-in-law,nn
352,sister,nn
353,mr.,nnp
354,john,nnp
355,dashwood,nnp
356,strong,jj
357,feeling,nn
358,rest,nn
359,family,nn
360,wa,rb
361,affected,vbn
362,recommendation,nn
363,nature,nn
364,time,nn
365,promised,vbd
366,every,dt
367,thing,nn
368,power,nn
369,make,vb
370,comfortable,jj
371,father,nn
372,wa,nn
373,rendered,vbd
374,easy,jj
375,assurance,nn
376,mr.,nnp
377,john,nnp
378,dashwood,nnp
379,leisure,nn
380,consider,vb
381,much,jj
382,might,md
383,prudently,rb
384,power,nn
385,wa,vbd
386,ill-disposed,jj
387,young,jj
388,man,nn
389,unless,in
390,rather,rb
391,cold,jj
392,hearted,vbn
393,rather,rb
394,selfish,jj
395,ill-disposed,jj
396,wa,vbz
397,general,jj
398,well,rb
399,respected,vbn
400,conducted,vbd
401,propriety,nn
402,discharge,nn
403,ordinary,jj
404,duty,nn
405,married,vbd
406,amiable,jj
407,woman,nn
408,might,md
409,made,vbn
410,still,rb
411,respectable,jj
412,wa,vbz
413,--,:
414,might,md
415,even,rb
416,made,vbn
417,amiable,jj
418,wa,vbz
419,young,jj
420,married,vbd
421,fond,nn
422,wife,nn
423,mrs.,nnp
424,john,nnp
425,dashwood,nnp
426,wa,vbd
427,strong,jj
428,caricature,nn
429,--,:
430,narrow-minded,jj
431,selfish,jj
432,gave,vbd
433,promise,nn
434,father,nn
435,meditated,vbd
436,within,in
437,increase,vb
438,fortune,nn
439,sister,nn
440,present,nn
441,thousand,jj
442,pound,nn
443,a-piece,rb
444,really,rb
445,thought,vbn
446,equal,jj
447,prospect,nn
448,four,cd
449,thousand,nn
450,a-year,nn
451,addition,nn
452,present,jj
453,income,nn
454,besides,in
455,remaining,vbg
456,half,nn
457,mother,nn
458,'s,pos
459,fortune,nn
460,warmed,vbd
461,heart,nn
462,made,vbd
463,feel,vb
464,capable,jj
465,generosity.,nn
466,--,:
467,'',''
468,yes,uh
469,would,md
470,give,vb
471,three,cd
472,thousand,vbp
473,pound,nn
474,would,md
475,liberal,jj
476,handsome,jj
477,would,md
478,enough,jj
479,make,vb
480,completely,rb
481,easy,jj
482,three,cd
483,thousand,vbp
484,pound,nn
485,could,md
486,spare,vb
487,considerable,jj
488,sum,nn
489,little,jj
490,inconvenience,nn
491,'',''
492,--,:
493,thought,vbd
494,day,nn
495,long,rb
496,many,jj
497,day,nn
498,successively,rb
499,repent,vb
500,sooner,nn
501,wa,vbd
502,father,nn
503,'s,pos
504,funeral,jj
505,mrs.,nnp
506,john,nnp
507,dashwood,nnp
508,without,in
509,sending,vbg
510,notice,nn
511,intention,nn
512,mother-in-law,nn
513,arrived,vbd
514,child,nn
515,attendant,nn
516,one,nn
517,could,md
518,dispute,vb
519,right,nn
520,come,vb
521,house,nn
522,wa,vbd
523,husband,nn
524,'s,pos
525,moment,nn
526,father,nn
527,'s,pos
528,decease,nn
529,indelicacy,nn
530,conduct,nn
531,wa,nn
532,much,rb
533,greater,jjr
534,woman,nn
535,mrs.,nnp
536,dashwood,nnp
537,'s,pos
538,situation,nn
539,common,jj
540,feeling,nn
541,must,md
542,highly,rb
543,unpleasing,jj
544,--,:
545,mind,nn
546,wa,vbz
547,sense,nn
548,honor,nn
549,keen,jj
550,generosity,nn
551,romantic,jj
552,offence,nn
553,kind,nn
554,whomsoever,nn
555,given,vbn
556,received,vbn
557,wa,nn
558,source,nn
559,immoveable,jj
560,disgust,nn
561,mrs.,nnp
562,john,nnp
563,dashwood,nnp
564,never,rb
565,favourite,jj
566,husband,nn
567,'s,pos
568,family,nn
569,opportunity,nn
570,till,vb
571,present,jj
572,shewing,vbg
573,little,jj
574,attention,nn
575,comfort,nn
576,people,nns
577,could,md
578,act,vb
579,occasion,nn
580,required,vbd
581,acutely,rb
582,mrs.,nnp
583,dashwood,nnp
584,feel,vb
585,ungracious,jj
586,behaviour,nn
587,earnestly,rb
588,despise,vb
589,daughter-in-law,nn
590,arrival,nn
591,latter,nn
592,would,md
593,quitted,vbn
594,house,nn
595,ever,rb
596,entreaty,nn
597,eldest,jjs
598,girl,nn
599,induced,vbd
600,first,jj
601,reflect,vb
602,propriety,nn
603,going,vbg
604,tender,nn
605,love,nn
606,three,cd
607,child,nn
608,determined,vbd
609,afterwards,nns
610,stay,vb
611,sake,nn
612,avoid,vb
613,breach,nn
614,brother,nn
615,elinor,nnp
616,eldest,jjs
617,daughter,nn
618,whose,wp$
619,advice,nn
620,wa,nn
621,effectual,jj
622,possessed,vbd
623,strength,nn
624,understanding,nn
625,coolness,nn
626,judgment,nn
627,qualified,vbd
628,though,in
629,nineteen,jj
630,counsellor,nn
631,mother,nn
632,enabled,vbd
633,frequently,rb
634,counteract,vb
635,advantage,nn
636,eagerness,nn
637,mind,nn
638,mrs.,nnp
639,dashwood,nnp
640,must,md
641,generally,rb
642,led,vbn
643,imprudence,nn
644,excellent,jj
645,heart,nn
646,--,:
647,disposition,nn
648,wa,nn
649,affectionate,nn
650,feeling,nn
651,strong,jj
652,knew,vbd
653,govern,vb
654,wa,vbz
655,knowledge,nn
656,mother,nn
657,yet,rb
658,learn,vb
659,one,cd
660,sister,nn
661,resolved,vbn
662,never,rb
663,taught,vbn
664,marianne,nnp
665,'s,pos
666,ability,nn
667,many,jj
668,respect,nn
669,quite,rb
670,equal,jj
671,elinor,nnp
672,'s,pos
673,wa,vbd
674,sensible,jj
675,clever,nn
676,eager,vbp
677,everything,nn
678,sorrow,nn
679,joy,nn
680,could,md
681,moderation,nn
682,wa,vbd
683,generous,jj
684,amiable,jj
685,interesting,jj
686,wa,vbd
687,everything,nn
688,prudent,nn
689,resemblance,nn
690,mother,nn
691,wa,nn
692,strikingly,rb
693,great,jj
694,elinor,nnp
695,saw,vbd
696,concern,nn
697,excess,nn
698,sister,nn
699,'s,pos
700,sensibility,nn
701,mrs.,nnp
702,dashwood,nnp
703,wa,vbd
704,valued,vbn
705,cherished,vbn
706,encouraged,vbd
707,violence,nn
708,affliction,nn
709,agony,nn
710,grief,nn
711,overpowered,vbd
712,first,rb
713,wa,vbp
714,voluntarily,rb
715,renewed,vbn
716,wa,wp
717,sought,vbd
718,wa,rb
719,created,vbn
720,gave,vbd
721,wholly,rb
722,sorrow,nn
723,seeking,vbg
724,increase,nn
725,wretchedness,nn
726,every,dt
727,reflection,nn
728,could,md
729,afford,vb
730,resolved,vbn
731,ever,rb
732,admitting,vbg
733,consolation,nn
734,future,jj
735,elinor,nnp
736,wa,jj
737,deeply,rb
738,afflicted,vbn
739,still,rb
740,could,md
741,struggle,vb
742,could,md
743,exert,vb
744,could,md
745,consult,vb
746,brother,nn
747,could,md
748,receive,vb
749,sister-in-law,nn
750,arrival,nn
751,treat,vb
752,proper,jj
753,attention,nn
754,could,md
755,strive,vb
756,rouse,vb
757,mother,nn
758,similar,jj
759,exertion,nn
760,encourage,vb
761,similar,jj
762,forbearance,nn
763,margaret,nnp
764,sister,nn
765,wa,vb
766,good-humored,jj
767,well-disposed,jj
768,girl,nn
769,already,rb
770,imbibed,vbn
771,good,jj
772,deal,nn
773,marianne,nnp
774,'s,pos
775,romance,nn
776,without,in
777,much,jj
778,sense,nn
779,thirteen,jj
780,bid,jj
781,fair,nn
782,equal,vb
783,sister,nn
784,advanced,jj
785,period,nn
786,life,nn
787,chapter,nn
788,2,cd
789,mrs.,nnp
790,john,nnp
791,dashwood,nnp
792,installed,vbz
793,mistress,nn
794,norland,nnp
795,mother,nn
796,sister-in-law,nn
797,degraded,vbn
798,condition,nn
799,visitor,nn
800,however,rb
801,treated,vbn
802,quiet,jj
803,civility,nn
804,husband,nn
805,much,rb
806,kindness,nn
807,could,md
808,feel,vb
809,towards,nns
810,anybody,nn
811,beyond,in
812,wife,nn
813,child,nn
814,really,rb
815,pressed,vbd
816,earnestness,nn
817,consider,vb
818,norland,nnp
819,home,nn
820,plan,nn
821,appeared,vbd
822,eligible,jj
823,mrs.,nnp
824,dashwood,nnp
825,remaining,vbg
826,till,vb
827,could,md
828,accommodate,vb
829,house,nn
830,neighbourhood,nn
831,invitation,nn
832,wa,nn
833,accepted,vbd
834,continuance,nn
835,place,nn
836,everything,nn
837,reminded,vbd
838,former,jj
839,delight,nn
840,wa,wp
841,exactly,rb
842,suited,vbd
843,mind,nn
844,season,nn
845,cheerfulness,nn
846,temper,nn
847,could,md
848,cheerful,jj
849,posse,nn
850,greater,jjr
851,degree,nn
852,sanguine,vbp
853,expectation,nn
854,happiness,nn
855,happiness,jj
856,sorrow,jj
857,must,md
858,equally,rb
859,carried,vbn
860,away,rb
861,fancy,nn
862,far,rb
863,beyond,in
864,consolation,nn
865,pleasure,nn
866,wa,vbd
867,beyond,in
868,alloy,nn
869,mrs.,nnp
870,john,nnp
871,dashwood,nnp
872,approve,nn
873,husband,nn
874,intended,vbn
875,sister,nn
876,take,vb
877,three,cd
878,thousand,jjr
879,pound,nn
880,fortune,nn
881,dear,jj
882,little,jj
883,boy,nn
884,would,md
885,impoverishing,vbg
886,dreadful,jj
887,degree,nn
888,begged,vbd
889,think,vb
890,subject,nn
891,could,md
892,answer,vb
893,rob,vb
894,child,nn
895,child,nn
896,large,jj
897,sum,nn
898,possible,jj
899,claim,nn
900,could,md
901,miss,nnp
902,dashwoods,nnp
903,related,vbn
904,half,jj
905,blood,nn
906,considered,vbd
907,relationship,nn
908,generosity,nn
909,large,jj
910,amount,nn
911,wa,vbd
912,well,rb
913,known,vbn
914,affection,nn
915,wa,vbz
916,ever,rb
917,supposed,vbn
918,exist,vb
919,child,nn
920,man,nn
921,different,jj
922,marriage,nn
923,wa,nn
924,ruin,vb
925,poor,jj
926,little,jj
927,harry,nnp
928,giving,vbg
929,away,rb
930,money,nn
931,half,nn
932,sister,nn
933,``,``
934,wa,vb
935,father,nn
936,'s,pos
937,last,jj
938,request,nn
939,'',''
940,replied,vbd
941,husband,nn
942,``,``
943,assist,vb
944,widow,nn
945,daughter,nn
946,'',''
947,``,``
948,know,vb
949,wa,vbd
950,talking,vbg
951,dare,vbp
952,say,vbp
953,ten,vbn
954,one,cd
955,wa,vbd
956,light-headed,jj
957,time,nn
958,right,nn
959,sens,nns
960,could,md
961,thought,vbn
962,thing,nn
963,begging,nn
964,give,vb
965,away,rp
966,half,dt
967,fortune,nn
968,child,nn
969,'',''
970,``,``
971,stipulate,vb
972,particular,jj
973,sum,nn
974,dear,jj
975,fanny,nnp
976,requested,vbd
977,general,jj
978,term,nn
979,assist,vb
980,make,vb
981,situation,nn
982,comfortable,jj
983,wa,vbz
984,power,nn
985,perhaps,rb
986,would,md
987,well,rb
988,left,vbn
989,wholly,rb
990,could,md
991,hardly,rb
992,suppose,vb
993,neglect,vb
994,required,vbd
995,promise,nn
996,could,md
997,le,jjr
998,give,vb
999,least,jjs
1000,thought,vbd
1001,time,nn
1002,promise,nn
1003,therefore,rb
1004,wa,vbd
1005,given,vbn
1006,must,md
1007,performed,vbn
1008,something,vbg
1009,must,md
1010,done,vbn
1011,whenever,wrb
1012,leave,vbp
1013,norland,nnp
1014,settle,vb
1015,new,jj
1016,home,nn
1017,'',''
1018,``,``
1019,well,nnp
1020,let,vb
1021,something,nn
1022,done,vbn
1023,something,nn
1024,need,md
1025,three,cd
1026,thousand,cd
1027,pound,nn
1028,consider,vb
1029,'',''
1030,added,vbd
1031,``,``
1032,money,nn
1033,parted,vbn
1034,never,rb
1035,return,vb
1036,sister,nn
1037,marry,vb
1038,gone,vbn
1039,ever,rb
1040,indeed,rb
1041,could,md
1042,restored,vbn
1043,poor,jj
1044,little,jj
1045,boy,nn
1046,--,:
1047,'',''
1048,'',''
1049,sure,jj
1050,'',''
1051,said,vbd
1052,husband,nn
1053,gravely,rb
1054,'',''
1055,would,md
1056,make,vb
1057,great,jj
1058,difference,nn
1059,time,nn
1060,may,md
1061,come,vb
1062,harry,nnp
1063,regret,vb
1064,large,jj
1065,sum,nn
1066,wa,nn
1067,parted,vbn
1068,numerous,jj
1069,family,nn
1070,instance,nn
1071,would,md
1072,convenient,jj
1073,addition,nn
1074,'',''
1075,``,``
1076,sure,jj
1077,would,md
1078,'',''
1079,``,``
1080,perhaps,rb
1081,would,md
1082,better,jjr
1083,party,nn
1084,sum,nn
1085,diminished,vbn
1086,one,cd
1087,half.,nn
1088,--,:
1089,five,cd
1090,hundred,jj
1091,pound,nn
1092,would,md
1093,prodigious,jj
1094,increase,nn
1095,fortune,nn
1096,'',''
1097,``,``
1098,oh,uh
1099,beyond,in
1100,anything,nn
1101,great,jj
1102,brother,nn
1103,earth,nn
1104,would,md
1105,half,vb
1106,much,jj
1107,sister,nn
1108,even,rb
1109,really,nnp
1110,sister,nn
1111,--,:
1112,half,nn
1113,blood,nn
1114,--,:
1115,generous,jj
1116,spirit,nn
1117,'',''
1118,``,``
1119,would,md
1120,wish,vb
1121,thing,nn
1122,mean,nn
1123,'',''
1124,replied,vbd
1125,``,``
1126,one,cd
1127,rather,rb
1128,occasion,nn
1129,much,jj
1130,little,jj
1131,one,nn
1132,least,jjs
1133,think,vb
1134,done,vbn
1135,enough,nn
1136,even,rb
1137,hardly,rb
1138,expect,vb
1139,'',''
1140,``,``
1141,knowing,vbg
1142,may,md
1143,expect,vb
1144,'',''
1145,said,vbd
1146,lady,nn
1147,``,``
1148,think,vb
1149,expectation,nn
1150,question,nn
1151,afford,vb
1152,'',''
1153,``,``
1154,certainly,nnp
1155,--,:
1156,think,vbp
1157,may,md
1158,afford,vb
1159,give,vb
1160,five,cd
1161,hundred,vbn
1162,pound,nn
1163,a-piece,rb
1164,without,in
1165,addition,nn
1166,mine,nn
1167,three,cd
1168,thousand,nns
1169,pound,nn
1170,mother,nn
1171,'s,pos
1172,death,nn
1173,--,:
1174,comfortable,jj
1175,fortune,nn
1176,young,jj
1177,woman,nn
1178,'',''
1179,``,``
1180,sure,jj
1181,indeed,rb
1182,strike,vbz
1183,want,vb
1184,addition,nn
1185,ten,vbn
1186,thousand,cd
1187,pound,nn
1188,divided,vbd
1189,amongst,jj
1190,marry,vbp
1191,sure,jj
1192,well,rb
1193,may,md
1194,live,jj
1195,comfortably,rb
1196,together,rb
1197,interest,nn
1198,ten,jj
1199,thousand,cd
1200,pound,nn
1201,'',''
1202,``,``
1203,true,jj
1204,therefore,rb
1205,know,vb
1206,whether,in
1207,upon,in
1208,whole,nn
1209,would,md
1210,advisable,jj
1211,something,nn
1212,mother,nn
1213,life,nn
1214,rather,rb
1215,--,:
1216,something,nn
1217,annuity,nn
1218,kind,nn
1219,mean.,vbp
1220,--,:
1221,sister,nn
1222,would,md
1223,feel,vb
1224,good,jj
1225,effect,nn
1226,well,rb
1227,hundred,cd
1228,year,nn
1229,would,md
1230,make,vb
1231,perfectly,rb
1232,comfortable,jj
1233,'',''
1234,wife,nn
1235,hesitated,vbd
1236,little,jj
1237,however,rb
1238,giving,vbg
1239,consent,nn
1240,plan,nn
1241,``,``
1242,sure,jj
1243,'',''
1244,said,vbd
1245,``,``
1246,better,rbr
1247,parting,vbg
1248,fifteen,jj
1249,hundred,vbn
1250,pound,nn
1251,mrs.,nnp
1252,dashwood,nnp
1253,live,vb
1254,fifteen,jj
1255,year,nn
1256,shall,md
1257,completely,rb
1258,taken,vbn
1259,'',''
1260,``,``
1261,fifteen,jj
1262,year,nn
1263,dear,jj
1264,fanny,nnp
1265,life,nn
1266,worth,jj
1267,half,nn
1268,purchase,nn
1269,'',''
1270,``,``
1271,certainly,nnp
1272,observe,vbp
1273,people,nns
1274,always,rb
1275,live,vbp
1276,ever,rb
1277,annuity,nn
1278,paid,vbn
1279,stout,jj
1280,healthy,jj
1281,hardly,rb
1282,forty,nn
1283,annuity,nn
1284,serious,jj
1285,business,nn
1286,come,vbz
1287,every,dt
1288,year,nn
1289,getting,vbg
1290,rid,nns
1291,aware,jj
1292,known,vbn
1293,great,jj
1294,deal,nn
1295,trouble,nn
1296,annuity,nn
1297,mother,nn
1298,wa,nn
1299,clogged,vbd
1300,payment,nn
1301,three,cd
1302,old,jj
1303,superannuated,vbn
1304,servant,nn
1305,father,nn
1306,'s,pos
1307,amazing,jj
1308,disagreeable,jj
1309,found,vbd
1310,twice,rb
1311,every,dt
1312,year,nn
1313,annuity,nn
1314,paid,vbn
1315,wa,vbz
1316,trouble,nn
1317,getting,vbg
1318,one,cd
1319,wa,wdt
1320,said,vbd
1321,died,vbn
1322,afterwards,nns
1323,turned,vbd
1324,thing,nn
1325,mother,nn
1326,wa,nn
1327,quite,rb
1328,sick,jj
1329,income,nn
1330,wa,nn
1331,said,vbd
1332,perpetual,jj
1333,claim,nn
1334,wa,vbd
1335,unkind,jj
1336,father,nn
1337,otherwise,rb
1338,money,nn
1339,would,md
1340,entirely,rb
1341,mother,nn
1342,'s,pos
1343,disposal,nn
1344,without,in
1345,restriction,nn
1346,whatever,wdt
1347,ha,vbd
1348,given,vbn
1349,abhorrence,nn
1350,annuity,nn
1351,sure,jj
1352,would,md
1353,pin,vb
1354,payment,nn
1355,one,cd
1356,world,nn
1357,'',''
1358,``,``
1359,certainly,rb
1360,unpleasant,jj
1361,thing,nn
1362,'',''
1363,replied,vbd
1364,mr.,nnp
1365,dashwood,nnp
1366,'',''
1367,kind,nn
1368,yearly,rb
1369,drain,nn
1370,one,cd
1371,'s,pos
1372,income,nn
1373,one,cd
1374,'s,pos
1375,fortune,nn
1376,mother,nn
1377,justly,rb
1378,say,vbp
1379,one,prp
1380,'s,vbz
1381,tied,vbn
1382,regular,jj
1383,payment,nn
1384,sum,nn
1385,every,dt
1386,rent,nn
1387,day,nn
1388,mean,jj
1389,desirable,nn
1390,take,vb
1391,away,rp
1392,one,cd
1393,'s,pos
1394,independence,nn
1395,'',''
1396,``,``
1397,undoubtedly,rb
1398,thanks,nns
1399,think,vbp
1400,secure,nn
1401,expected,vbn
1402,raise,vbz
1403,gratitude,nn
1404,whatever,wdt
1405,done,vbn
1406,discretion,nn
1407,entirely,rb
1408,would,md
1409,bind,vb
1410,allow,vb
1411,thing,nn
1412,yearly,rb
1413,may,md
1414,inconvenient,jj
1415,year,nn
1416,spare,vb
1417,hundred,cd
1418,even,rb
1419,fifty,jj
1420,pound,nn
1421,expense,nn
1422,'',''
1423,``,``
1424,believe,vbp
1425,right,jj
1426,love,nn
1427,better,jjr
1428,annuity,nn
1429,case,nn
1430,whatever,wdt
1431,may,md
1432,give,vb
1433,occasionally,rb
1434,far,rb
1435,greater,jjr
1436,assistance,nn
1437,yearly,jj
1438,allowance,nn
1439,would,md
1440,enlarge,vb
1441,style,nn
1442,living,vbg
1443,felt,vbd
1444,sure,nn
1445,larger,jjr
1446,income,nn
1447,would,md
1448,sixpence,rb
1449,richer,nn
1450,end,nn
1451,year,nn
1452,certainly,rb
1453,much,rb
1454,best,jjs
1455,way,nn
1456,present,jj
1457,fifty,jj
1458,pound,nn
1459,prevent,vb
1460,ever,rb
1461,distressed,vbn
1462,money,nn
1463,think,vbp
1464,amply,rb
1465,discharging,vbg
1466,promise,nn
1467,father,nn
1468,'',''
1469,``,``
1470,sure,jj
1471,indeed,rb
1472,say,vb
1473,truth,nn
1474,convinced,vbn
1475,within,in
1476,father,nn
1477,idea,nn
1478,giving,vbg
1479,money,nn
1480,assistance,nn
1481,thought,vbd
1482,dare,vbp
1483,say,vb
1484,wa,wp
1485,might,md
1486,reasonably,rb
1487,expected,vbn
1488,instance,nn
1489,looking,vbg
1490,comfortable,jj
1491,small,jj
1492,house,nn
1493,helping,vbg
1494,move,vb
1495,thing,nn
1496,sending,vbg
1497,present,jj
1498,fish,jj
1499,game,nn
1500,forth,jj
1501,whenever,wrb
1502,season,nn
1503,'ll,md
1504,lay,vb
1505,life,nn
1506,meant,vbd
1507,nothing,nn
1508,farther,rb
1509,indeed,rb
1510,would,md
1511,strange,jj
1512,unreasonable,jj
1513,consider,vb
1514,dear,jj
1515,mr.,nnp
1516,dashwood,nnp
1517,excessively,rb
1518,comfortable,jj
1519,mother-in-law,nn
1520,daughter,nn
1521,may,md
1522,live,vb
1523,interest,nn
1524,seven,cd
1525,thousand,cd
1526,pound,nn
1527,besides,in
1528,thousand,nn
1529,pound,nn
1530,belonging,vbg
1531,girl,nn
1532,brings,vbz
1533,fifty,jj
1534,pound,nn
1535,year,nn
1536,a-piece,rb
1537,course,nn
1538,pay,vb
1539,mother,nn
1540,board,nn
1541,altogether,rb
1542,five,cd
1543,hundred,vbn
1544,a-year,jj
1545,amongst,nns
1546,earth,nn
1547,four,cd
1548,woman,nn
1549,want,vbp
1550,--,:
1551,live,vb
1552,cheap,jj
1553,housekeeping,nn
1554,nothing,nn
1555,carriage,nn
1556,horse,nn
1557,hardly,rb
1558,servant,nn
1559,keep,vb
1560,company,nn
1561,expense,nn
1562,kind,nn
1563,conceive,jj
1564,comfortable,jj
1565,five,cd
1566,hundred,vbd
1567,year,nn
1568,sure,jj
1569,imagine,vb
1570,spend,vb
1571,half,nn
1572,giving,vbg
1573,quite,rb
1574,absurd,jj
1575,think,vb
1576,much,rb
1577,able,jj
1578,give,vb
1579,something,nn
1580,'',''
1581,``,``
1582,upon,in
1583,word,nn
1584,'',''
1585,said,vbd
1586,mr.,nnp
1587,dashwood,nnp
1588,``,``
1589,believe,vbp
1590,perfectly,rb
1591,right,rb
1592,father,nn
1593,certainly,rb
1594,could,md
1595,mean,vb
1596,nothing,nn
1597,request,nn
1598,say,vbp
1599,clearly,rb
1600,understand,vbp
1601,strictly,rb
1602,fulfil,vb
1603,engagement,nn
1604,act,nn
1605,assistance,nn
1606,kindness,nn
1607,described,vbn
1608,mother,nn
1609,remove,vb
1610,another,dt
1611,house,nn
1612,service,nn
1613,shall,md
1614,readily,rb
1615,given,vbn
1616,accommodate,vb
1617,far,rb
1618,little,jj
1619,present,nn
1620,furniture,nn
1621,may,md
1622,acceptable,jj
1623,'',''
1624,``,``
1625,certainly,rb
1626,'',''
1627,returned,vbd
1628,mrs.,nnp
1629,john,nnp
1630,dashwood,nnp
1631,``,``
